SYMBOL_CODE,SYMBOL_NAME,MARKET_TYPE,ASSETS_TYPE,PUBLIC_DATE,INDUSTRY
有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode
080801　定穎控元富38購01,TW24Z0808012,2024/02/23,上市,,RWSCCA
080802　定穎控元富38購02,TW24Z0808020,2024/02/23,上市,,RWSCCA
080803　材料元富38購04,TW24Z0808038,2024/02/23,上市,,RWSCCA
080804　材料元富39購04,TW24Z0808046,2024/02/23,上市,,RWSCCA
080805　南寶元富38購02,TW24Z0808053,2024/02/23,上市,,RWSCCA
080806　同欣電元富38購01,TW24Z0808061,2024/02/23,上市,,RWSCCA
080807　穎崴元富3B購01,TW24Z0808079,2024/02/23,上市,,RWSCCA
080808　愛普元富38購03,TW24Z0808087,2024/02/23,上市,,RWSCCA
080809　采鈺元富38購03,TW24Z0808095,2024/02/23,上市,,RWSCCA
08080T　材料元大3A售16,TW24Z08080T3,2024/04/29,上市,,RWSCPE
080810　臺股指元富3C購01,TW24Z0808103,2024/02/23,上市,,RWICCE
080811　臺股指元富3C購02,TW24Z0808111,2024/02/23,上市,,RWICCE
080812　士電群益3A購02,TW24Z0808129,2024/02/23,上市,,RWSCCA
080813　美時群益38購02,TW24Z0808137,2024/02/23,上市,,RWSCCA
080814　川湖群益41購03,TW24Z0808145,2024/02/23,上市,,RWSCCA
080815　聯電群益38購07,TW24Z0808152,2024/02/23,上市,,RWSCCA
080816　華通群益3A購03,TW24Z0808160,2024/02/23,上市,,RWSCCA
080817　敬鵬群益3A購03,TW24Z0808178,2024/02/23,上市,,RWSCCA
080818　技嘉群益38購19,TW24Z0808186,2024/02/23,上市,,RWSCCA
080819　瑞昱群益38購02,TW24Z0808194,2024/02/23,上市,,RWSCCA
08081T　材料元大3A售17,TW24Z08081T1,2024/04/29,上市,,RWSCPE
080820　瑞昱群益3A購01,TW24Z0808202,2024/02/23,上市,,RWSCCA
080821　群光群益39購01,TW24Z0808210,2024/02/23,上市,,RWSCCA
080822　建準群益41購01,TW24Z0808228,2024/02/23,上市,,RWSCCA
080823　晶豪科群益38購01,TW24Z0808236,2024/02/23,上市,,RWSCCA
080824　偉訓群益42購02,TW24Z0808244,2024/02/23,上市,,RWSCCA
080825　緯創群益3A購05,TW24Z0808251,2024/02/23,上市,,RWSCCA
080826　緯創群益3A購06,TW24Z0808269,2024/02/23,上市,,RWSCCA
080827　創意群益41購02,TW24Z0808277,2024/02/23,上市,,RWSCCA
080828　永崴控群益42購01,TW24Z0808285,2024/02/23,上市,,RWSCCA
080829　定穎控群益38購03,TW24Z0808293,2024/02/23,上市,,RWSCCA
08082T　定穎控凱基3B售03,TW24Z08082T9,2024/04/29,上市,,RWSCPE
080830　材料群益38購05,TW24Z0808301,2024/02/23,上市,,RWSCCA
080831　天鈺群益38購03,TW24Z0808319,2024/02/23,上市,,RWSCCA
080832　邁達特群益3A購01,TW24Z0808327,2024/02/23,上市,,RWSCCA
080833　豐藝群益38購01,TW24Z0808335,2024/02/23,上市,,RWSCCA
080834　豐藝群益39購01,TW24Z0808343,2024/02/23,上市,,RWSCCA
080835　訊芯群益3A購01,TW24Z0808350,2024/02/23,上市,,RWSCCA
080836　愛普群益3C購01,TW24Z0808368,2024/02/23,上市,,RWSCCA
080837　力智群益38購01,TW24Z0808376,2024/02/23,上市,,RWSCCA
080838　矽創群益3A購01,TW24Z0808384,2024/02/23,上市,,RWSCCA
